,ticker,security,yahoo_urls
128,GLW,Corning,https://finance.yahoo.com/quote/GLW/history?p=GLW
129,CTVA,Corteva,https://finance.yahoo.com/quote/CTVA/history?p=CTVA
130,COST,Costco,https://finance.yahoo.com/quote/COST/history?p=COST
131,CTRA,Coterra,https://finance.yahoo.com/quote/CTRA/history?p=CTRA
132,CCI,Crown Castle,https://finance.yahoo.com/quote/CCI/history?p=CCI
133,CSX,CSX,https://finance.yahoo.com/quote/CSX/history?p=CSX
134,CMI,Cummins,https://finance.yahoo.com/quote/CMI/history?p=CMI
135,CVS,CVS Health,https://finance.yahoo.com/quote/CVS/history?p=CVS
136,DHI,D. R. Horton,https://finance.yahoo.com/quote/DHI/history?p=DHI
137,DHR,Danaher,https://finance.yahoo.com/quote/DHR/history?p=DHR
138,DRI,Darden Restaurants,https://finance.yahoo.com/quote/DRI/history?p=DRI
139,DVA,DaVita,https://finance.yahoo.com/quote/DVA/history?p=DVA
140,DE,Deere & Co.,https://finance.yahoo.com/quote/DE/history?p=DE
141,DAL,Delta Air Lines,https://finance.yahoo.com/quote/DAL/history?p=DAL
142,XRAY,Dentsply Sirona,https://finance.yahoo.com/quote/XRAY/history?p=XRAY
143,DVN,Devon Energy,https://finance.yahoo.com/quote/DVN/history?p=DVN
144,DXCM,DexCom,https://finance.yahoo.com/quote/DXCM/history?p=DXCM
145,FANG,Diamondback Energy,https://finance.yahoo.com/quote/FANG/history?p=FANG
146,DLR,Digital Realty Trust,https://finance.yahoo.com/quote/DLR/history?p=DLR
147,DFS,Discover Financial Services,https://finance.yahoo.com/quote/DFS/history?p=DFS
148,DISCA,Discovery (Series A),https://finance.yahoo.com/quote/DISCA/history?p=DISCA
149,DISCK,Discovery (Series C),https://finance.yahoo.com/quote/DISCK/history?p=DISCK
150,DISH,Dish Network,https://finance.yahoo.com/quote/DISH/history?p=DISH
151,DG,Dollar General,https://finance.yahoo.com/quote/DG/history?p=DG
152,DLTR,Dollar Tree,https://finance.yahoo.com/quote/DLTR/history?p=DLTR
153,D,Dominion Energy,https://finance.yahoo.com/quote/D/history?p=D
154,DPZ,Domino's Pizza,https://finance.yahoo.com/quote/DPZ/history?p=DPZ
155,DOV,Dover Corporation,https://finance.yahoo.com/quote/DOV/history?p=DOV
156,DOW,Dow,https://finance.yahoo.com/quote/DOW/history?p=DOW
157,DTE,DTE Energy,https://finance.yahoo.com/quote/DTE/history?p=DTE
158,DUK,Duke Energy,https://finance.yahoo.com/quote/DUK/history?p=DUK
159,DRE,Duke Realty Corp,https://finance.yahoo.com/quote/DRE/history?p=DRE
160,DD,DuPont,https://finance.yahoo.com/quote/DD/history?p=DD
161,DXC,DXC Technology,https://finance.yahoo.com/quote/DXC/history?p=DXC
162,EMN,Eastman Chemical,https://finance.yahoo.com/quote/EMN/history?p=EMN
163,ETN,Eaton Corporation,https://finance.yahoo.com/quote/ETN/history?p=ETN
164,EBAY,eBay,https://finance.yahoo.com/quote/EBAY/history?p=EBAY
165,ECL,Ecolab,https://finance.yahoo.com/quote/ECL/history?p=ECL
166,EIX,Edison International,https://finance.yahoo.com/quote/EIX/history?p=EIX
167,EW,Edwards Lifesciences,https://finance.yahoo.com/quote/EW/history?p=EW
168,EA,Electronic Arts,https://finance.yahoo.com/quote/EA/history?p=EA
169,EMR,Emerson Electric,https://finance.yahoo.com/quote/EMR/history?p=EMR
170,ENPH,Enphase Energy,https://finance.yahoo.com/quote/ENPH/history?p=ENPH
171,ETR,Entergy,https://finance.yahoo.com/quote/ETR/history?p=ETR
172,EOG,EOG Resources,https://finance.yahoo.com/quote/EOG/history?p=EOG
173,EFX,Equifax,https://finance.yahoo.com/quote/EFX/history?p=EFX
174,EQIX,Equinix,https://finance.yahoo.com/quote/EQIX/history?p=EQIX
175,EQR,Equity Residential,https://finance.yahoo.com/quote/EQR/history?p=EQR
176,ESS,Essex Property Trust,https://finance.yahoo.com/quote/ESS/history?p=ESS
177,EL,Estée Lauder Companies,https://finance.yahoo.com/quote/EL/history?p=EL
178,ETSY,Etsy,https://finance.yahoo.com/quote/ETSY/history?p=ETSY
179,EVRG,Evergy,https://finance.yahoo.com/quote/EVRG/history?p=EVRG
180,ES,Eversource Energy,https://finance.yahoo.com/quote/ES/history?p=ES
181,RE,Everest Re,https://finance.yahoo.com/quote/RE/history?p=RE
182,EXC,Exelon,https://finance.yahoo.com/quote/EXC/history?p=EXC
183,EXPE,Expedia Group,https://finance.yahoo.com/quote/EXPE/history?p=EXPE
184,EXPD,Expeditors,https://finance.yahoo.com/quote/EXPD/history?p=EXPD
185,EXR,Extra Space Storage,https://finance.yahoo.com/quote/EXR/history?p=EXR
186,XOM,ExxonMobil,https://finance.yahoo.com/quote/XOM/history?p=XOM
187,FFIV,F5 Networks,https://finance.yahoo.com/quote/FFIV/history?p=FFIV
188,FB,Facebook,https://finance.yahoo.com/quote/FB/history?p=FB
189,FAST,Fastenal,https://finance.yahoo.com/quote/FAST/history?p=FAST
190,FRT,Federal Realty Investment Trust,https://finance.yahoo.com/quote/FRT/history?p=FRT
191,FDX,FedEx,https://finance.yahoo.com/quote/FDX/history?p=FDX
192,FIS,Fidelity National Information Services,https://finance.yahoo.com/quote/FIS/history?p=FIS
193,FITB,Fifth Third Bancorp,https://finance.yahoo.com/quote/FITB/history?p=FITB
194,FE,FirstEnergy,https://finance.yahoo.com/quote/FE/history?p=FE
195,FRC,First Republic Bank,https://finance.yahoo.com/quote/FRC/history?p=FRC
196,FISV,Fiserv,https://finance.yahoo.com/quote/FISV/history?p=FISV
197,FLT,Fleetcor,https://finance.yahoo.com/quote/FLT/history?p=FLT
198,FMC,FMC Corporation,https://finance.yahoo.com/quote/FMC/history?p=FMC
199,F,Ford,https://finance.yahoo.com/quote/F/history?p=F
200,FTNT,Fortinet,https://finance.yahoo.com/quote/FTNT/history?p=FTNT
201,FTV,Fortive,https://finance.yahoo.com/quote/FTV/history?p=FTV
202,FBHS,Fortune Brands Home & Security,https://finance.yahoo.com/quote/FBHS/history?p=FBHS
203,FOXA,Fox Corporation (Class A),https://finance.yahoo.com/quote/FOXA/history?p=FOXA
204,FOX,Fox Corporation (Class B),https://finance.yahoo.com/quote/FOX/history?p=FOX
205,BEN,Franklin Resources,https://finance.yahoo.com/quote/BEN/history?p=BEN
206,FCX,Freeport-McMoRan,https://finance.yahoo.com/quote/FCX/history?p=FCX
207,GPS,Gap,https://finance.yahoo.com/quote/GPS/history?p=GPS
208,GRMN,Garmin,https://finance.yahoo.com/quote/GRMN/history?p=GRMN
209,IT,Gartner,https://finance.yahoo.com/quote/IT/history?p=IT
210,GNRC,Generac Holdings,https://finance.yahoo.com/quote/GNRC/history?p=GNRC
211,GD,General Dynamics,https://finance.yahoo.com/quote/GD/history?p=GD
212,GE,General Electric,https://finance.yahoo.com/quote/GE/history?p=GE
213,GIS,General Mills,https://finance.yahoo.com/quote/GIS/history?p=GIS
214,GM,General Motors,https://finance.yahoo.com/quote/GM/history?p=GM
215,GPC,Genuine Parts,https://finance.yahoo.com/quote/GPC/history?p=GPC
216,GILD,Gilead Sciences,https://finance.yahoo.com/quote/GILD/history?p=GILD
217,GL,Globe Life,https://finance.yahoo.com/quote/GL/history?p=GL
218,GPN,Global Payments,https://finance.yahoo.com/quote/GPN/history?p=GPN
219,GS,Goldman Sachs,https://finance.yahoo.com/quote/GS/history?p=GS
220,GWW,W. W. Grainger,https://finance.yahoo.com/quote/GWW/history?p=GWW
221,HAL,Halliburton,https://finance.yahoo.com/quote/HAL/history?p=HAL
